key	text	tooltip
#Loc PackedFile;1;text/db/vco_effect_bundles.loc		
effect_bundles_localised_description_vco_campaign_victory_dummy	Completing a route will count as a campaign victory and will trigger the achievements. Do not worry, you still will be able to keep playing to complete the other routes or go for a world domination!	true
effect_bundles_localised_title_vco_campaign_victory_dummy	Campaign Victory	true
effect_bundles_localised_description_vco_victory_payload_iron_into_gold	Diplomats from the west brave the Ivory Road to kneel before the Dragon Emperor and pledge their nations to his cause.	true
effect_bundles_localised_title_vco_victory_payload_iron_into_gold	Global Trade	true
effect_bundles_localised_description_vco_victory_payload_in_harmony	With the daemons kept at bay, the land thrives and the people are content.	true
effect_bundles_localised_title_vco_victory_payload_in_harmony	Empire of the Celestial Dragon	true
effect_bundles_localised_description_vco_victory_payload_dont_thread_on_ming	Across Cathay the merchants rejoice, for the trade routes are secure and wealth flows into the nation.	true
effect_bundles_localised_title_vco_victory_payload_dont_thread_on_ming	Safe Roads	true
effect_bundles_localised_description_vco_victory_payload_cool_and_aloof	From the highest tower in the City of Smoke the Supreme Patriarch safeguards the nation.	true
effect_bundles_localised_title_vco_victory_payload_cool_and_aloof	Unreachable	true
effect_bundles_localised_description_vco_victory_payload_the_northern_expedition	With Shen-Zoo safely returned, light shines on the Celestial Empire once more. The people rejoice and the shadows are banished.	true
effect_bundles_localised_title_vco_victory_payload_the_northern_expedition	Bringer of Light and Hope	true
effect_bundles_localised_description_vco_victory_payload_solar_city	"Woe to the warm-bloods who trespass against us. Feed them to the beasts of the jungle and leave their bones to bleach upon the golden shores of our land. Let them see that it is folly to intrude upon the Isthmus."	true
effect_bundles_localised_title_vco_victory_payload_solar_city	Saviour of the Solar City	true
effect_bundles_localised_description_vco_victory_payload_begone_thot	The Hag Queen and her cruel consorts have met their end, their souls now the playthings of the Ancient Enemy for eternity.	true
effect_bundles_localised_title_vco_victory_payload_begone_thot	Cleanser of Chaos	true
effect_bundles_localised_description_vco_victory_payload_purging_warmbloods	The Geomantic Web thrums with power, the spawning pools thrash with new life - all is as the Old Ones foretold.	true
effect_bundles_localised_title_vco_victory_payload_purging_warmbloods	Lustria Resurgent	true
